2022.04.26 11:48:31 INFO  [success] Generated .bloop/my-akka-http-project-build-build.json[0m
2022.04.26 11:48:31 INFO  [success] Total time: 1 s, completed Apr 26, 2022, 11:48:31 AM[0m
2022.04.26 11:48:31 INFO  [info] loading settings for project my-akka-http-project-build from metals.sbt,plugins.sbt ...[0m
2022.04.26 11:48:31 INFO  [info] loading project definition from /home/bert/Desktop/projects/my-akka-http-project/project[0m
2022.04.26 11:48:31 INFO  [success] Generated .bloop/my-akka-http-project-build.json[0m
2022.04.26 11:48:31 INFO  [success] Total time: 0 s, completed Apr 26, 2022, 11:48:32 AM[0m
2022.04.26 11:48:31 INFO  [info] loading settings for project root from build.sbt ...[0m
2022.04.26 11:48:31 INFO  [info] set current project to My Akka HTTP Project (in build file:/home/bert/Desktop/projects/my-akka-http-project/)[0m
2022.04.26 11:48:33 INFO  [success] Generated .bloop/root-test.json[0m
2022.04.26 11:48:33 INFO  [success] Generated .bloop/root.json[0m
2022.04.26 11:48:33 INFO  [success] Total time: 1 s, completed Apr 26, 2022, 11:48:33 AM[0m
2022.04.26 11:48:33 INFO  time: ran 'sbt bloopInstall' in 5.79s[0m
2022.04.26 11:48:33 INFO  Attempting to connect to the build server...[0m
2022.04.26 11:48:33 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/bert/Desktop/projects/my-akka-http-project/.metals/bsp.trace.json or /home/bert/.cache/metals/bsp.trace.json[0m
2022.04.26 11:48:33 INFO  Attempting to connect to the build server...[0m
2022.04.26 11:48:33 INFO  Attempting to connect to the build server...[0m
2022.04.26 11:48:33 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/bert/Desktop/projects/my-akka-http-project/project/project/.metals/bsp.trace.json or /home/bert/.cache/metals/bsp.trace.json[0m
2022.04.26 11:48:33 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/bert/Desktop/projects/my-akka-http-project/project/.metals/bsp.trace.json or /home/bert/.cache/metals/bsp.trace.json[0m
2022.04.26 11:48:33 INFO  time: Connected to build server in 0.22s[0m
2022.04.26 11:48:33 INFO  Connected to Build server: Bloop v1.4.13[0m
2022.04.26 11:48:35 WARN  Could not find java sources in /usr/lib/jvm/src.zip, /usr/lib/jvm/lib/src.zip, /usr/lib/jvm/java-17-openjdk-amd64/src.zip, /usr/lib/jvm/java-17-openjdk-amd64/lib/src.zip. Java symbols will not be available.[0m
2022.04.26 11:48:37 INFO  time: indexed workspace in 3.21s[0m
2022.04.26 11:48:37 INFO  compiling root (4 scala sources)[0m
2022.04.26 11:48:44 INFO  time: compiled root in 7.34s[0m
